policy,instances,throughput,latency
none,300,309,0.060463
INC_SET(2),300,308,0.069048
RESTRICT,300,312,0.088865
RESTRICT+INC_SET(2),300,311,0.105171
none,400,410,0.058692
INC_SET(2),400,410,0.074352
RESTRICT,400,413,0.088967
RESTRICT+INC_SET(2),400,414,0.099941
none,500,511,0.059078
INC_SET(2),500,512,0.076007
RESTRICT,500,513,0.089240
RESTRICT+INC_SET(2),500,512,0.103363
none,600,611,0.060075
INC_SET(2),600,612,0.071559
RESTRICT,600,617,0.090563
RESTRICT+INC_SET(2),600,618,0.108931
none,700,713,0.061641
INC_SET(2),700,714,0.073839
RESTRICT,700,716,0.089307
RESTRICT+INC_SET(2),700,721,0.109387
none,800,814,0.061443
INC_SET(2),800,814,0.073348
RESTRICT,800,822,0.088948
RESTRICT+INC_SET(2),800,817,0.180590
none,900,915,0.061980
INC_SET(2),900,914,0.071796
RESTRICT,900,923,0.089814
RESTRICT+INC_SET(2),900,917,0.109445
none,1000,1017,0.063940
INC_SET(2),1000,1017,0.071549
RESTRICT,1000,1025,0.093578
RESTRICT+INC_SET(2),1000,1022,0.110025
